date,hyperparameters,Recall@10,Precision@10,MRR@10,NDCG@10,Recall@100,Precision@100,MRR@100,NDCG@100,MAP
2026-04-14 01:00:59,"model=BAAI/bge-large-en-v1.5, alpha=0.65, beta=0.0, gamma=0.35, split=train",0.5332,0.276,0.7504,0.5734,0.8485,0.0605,0.7518,0.6457,0.4658
2026-04-14 01:01:23,"model=BAAI/bge-large-en-v1.5, alpha=0.65, beta=0.0, gamma=0.35, split=train",0.5332,0.276,0.7504,0.5734,0.8485,0.0605,0.7518,0.6457,0.4658
2026-04-14 01:01:41,"model=BAAI/bge-large-en-v1.5, alpha=0.65, beta=0.0, gamma=0.35, split=train",0.5332,0.276,0.7504,0.5734,0.8485,0.0605,0.7518,0.6457,0.4658
2026-04-14 03:37:21,"model=intfloat/e5-large-v2, alpha=0.65, beta=0.0, gamma=0.35, split=train",0.4837,0.252,0.6784,0.5169,0.7842,0.0569,0.6797,0.5861,0.4099
2026-04-14 16:50:09,"model=BAAI/bge-large-en-v1.5, alpha=0.65, beta=0.0, gamma=0.35, split=train",0.5505,0.281,0.7459,0.5809,0.8458,0.0605,0.7474,0.6469,0.4697
