date,hyperparameters,Recall@10,Precision@10,MRR@10,NDCG@10,Recall@100,Precision@100,MRR@100,NDCG@100,MAP
2026-04-13 18:28:47,"model=BAAI/bge-large-en-v1.5, alpha=0.5, split=train",0.5404,0.278,0.7478,0.575,0.8385,0.0617,0.7505,0.6465,0.4703
2026-04-13 18:30:50,"model=BAAI/bge-large-en-v1.5, alpha=0.9, split=train",0.5276,0.273,0.7328,0.565,0.8269,0.0604,0.7347,0.6331,0.4584
2026-04-13 18:31:10,"model=BAAI/bge-large-en-v1.5, alpha=0.1, split=train",0.4969,0.259,0.666,0.52,0.8215,0.0603,0.6692,0.5981,0.4217
2026-04-13 18:32:35,"model=BAAI/bge-large-en-v1.5, alpha=0.7, split=train",0.5333,0.275,0.7557,0.5773,0.8322,0.0612,0.758,0.6483,0.4746
2026-04-13 18:32:47,"model=BAAI/bge-large-en-v1.5, alpha=0.8, split=train",0.5344,0.277,0.7442,0.5739,0.8305,0.0608,0.7464,0.6412,0.4664
2026-04-13 18:32:59,"model=BAAI/bge-large-en-v1.5, alpha=0.3, split=train",0.5355,0.273,0.7115,0.5628,0.8374,0.0617,0.7144,0.6361,0.4622
