date,hyperparameters,Recall@10,Precision@10,MRR@10,NDCG@10,Recall@100,Precision@100,MRR@100,NDCG@100,MAP
2026-04-11 21:01:31,"input=dense_bge, model=cross-encoder_ms-marco-MiniLM-L-6-v2, top_k_rerank=100",0.4278,0.212,0.6217,0.4479,0.811,0.0593,0.6274,0.5504,0.3502
2026-04-11 21:05:29,"input=dense_bge, model=BAAI_bge-reranker-base, top_k_rerank=100",0.2688,0.14,0.3963,0.2704,0.811,0.0593,0.4081,0.4251,0.2147
2026-04-11 21:12:20,"input=dense_bge, model=BAAI_bge-reranker-base, top_k_rerank=100",0.4147,0.222,0.5946,0.4384,0.811,0.0593,0.6009,0.5342,0.333
